#                  L = 25.00                                       L = 50.00                                       L = 75.00                                       L = 100.00                   
#          r [A]          rho(r)         Δrho(r)           r [A]          rho(r)         Δrho(r)           r [A]          rho(r)         Δrho(r)           r [A]          rho(r)         Δrho(r)
  7.98800000E+00  7.85405391E-03  8.86278578E-05  7.98800000E+00  8.84137544E-03  3.04111154E-05  7.98800000E+00  8.50742838E-03  6.39667860E-05  7.98800000E+00  8.39219908E-03  5.21338564E-05
  8.06500000E+00  1.10010051E-02  1.03273333E-04  8.06500000E+00  1.21777351E-02  3.48509795E-05  8.06500000E+00  1.17362562E-02  6.89424941E-05  8.06500000E+00  1.16260462E-02  5.73750683E-05
  8.14300000E+00  1.51300710E-02  1.17013786E-04  8.14300000E+00  1.65049794E-02  3.74071046E-05  8.14300000E+00  1.59145292E-02  7.38566926E-05  8.14300000E+00  1.58571795E-02  5.86322635E-05
  8.22000000E+00  2.03957981E-02  1.28768191E-04  8.22000000E+00  2.19802668E-02  3.95023235E-05  8.22000000E+00  2.12556103E-02  7.45374056E-05  8.22000000E+00  2.12257469E-02  6.09343196E-05
  8.29800000E+00  2.69627524E-02  1.34290319E-04  8.29800000E+00  2.87510539E-02  4.14831076E-05  8.29800000E+00  2.78482229E-02  7.25240178E-05  8.29800000E+00  2.78807511E-02  5.81537983E-05
  8.37500000E+00  3.48830435E-02  1.36114663E-04  8.37500000E+00  3.68499043E-02  4.14408144E-05  8.37500000E+00  3.57609403E-02  6.80828902E-05  8.37500000E+00  3.58809315E-02  4.91210570E-05
  8.45300000E+00  4.41177262E-02  1.27604190E-04  8.45300000E+00  4.62747732E-02  4.00076395E-05  8.45300000E+00  4.49456352E-02  6.42356536E-05  8.45300000E+00  4.52001771E-02  4.45868724E-05
  8.53000000E+00  5.44461587E-02  1.15417415E-04  8.53000000E+00  5.68007054E-02  3.58300240E-05  8.53000000E+00  5.52045248E-02  5.08612889E-05  8.53000000E+00  5.56007501E-02  4.22102537E-05
  8.60800000E+00  6.54918455E-02  9.09787167E-05  8.60800000E+00  6.80527503E-02  3.11339889E-05  8.60800000E+00  6.60999321E-02  4.00687331E-05  8.60800000E+00  6.67526955E-02  3.92705871E-05
  8.68600000E+00  7.66065323E-02  6.31145785E-05  8.68600000E+00  7.93837545E-02  2.61688224E-05  8.68600000E+00  7.70414752E-02  3.46198833E-05  8.68600000E+00  7.79202312E-02  4.39737933E-05
  8.76300000E+00  8.69389867E-02  3.81463881E-05  8.76300000E+00  8.99698789E-02  2.47658067E-05  8.76300000E+00  8.72163934E-02  4.05127984E-05  8.76300000E+00  8.83418016E-02  4.52632807E-05
  8.84100000E+00  9.55086227E-02  4.19237842E-05  8.84100000E+00  9.87888115E-02  2.57746444E-05  8.84100000E+00  9.56535973E-02  5.37036904E-05  8.84100000E+00  9.69610631E-02  5.18041886E-05
  8.91800000E+00  1.01192530E-01  6.66816227E-05  8.91800000E+00  1.04720592E-01  3.20021200E-05  8.91800000E+00  1.01210700E-01  6.18952723E-05  8.91800000E+00  1.02753212E-01  5.12941913E-05
  8.99600000E+00  1.03092571E-01  9.59063408E-05  8.99600000E+00  1.06815427E-01  4.06124504E-05  8.99600000E+00  1.02950169E-01  6.69407874E-05  8.99600000E+00  1.04695601E-01  5.22748470E-05
  9.07300000E+00  1.00451003E-01  1.15478959E-04  9.07300000E+00  1.04295270E-01  5.02746739E-05  9.07300000E+00  1.00300133E-01  6.57827913E-05  9.07300000E+00  1.02094934E-01  5.50238040E-05
  9.15100000E+00  9.31554311E-02  1.25128846E-04  9.15100000E+00  9.69540805E-02  5.62588688E-05  9.15100000E+00  9.30061203E-02  6.83966726E-05  9.15100000E+00  9.47770486E-02  5.85069813E-05
  9.22800000E+00  8.16659768E-02  1.21361725E-04  9.22800000E+00  8.52321357E-02  5.68331308E-05  9.22800000E+00  8.15612601E-02  6.11172589E-05  9.22800000E+00  8.31976679E-02  5.64836041E-05
  9.30600000E+00  6.71282197E-02  1.09120933E-04  9.30600000E+00  7.02897916E-02  5.25934017E-05  9.30600000E+00  6.70493709E-02  4.78470940E-05  9.30600000E+00  6.84935852E-02  5.17614961E-05
  9.38400000E+00  5.12238307E-02  8.94875684E-05  9.38400000E+00  5.38266845E-02  4.56029838E-05  9.38400000E+00  5.12357297E-02  4.20360700E-05  9.38400000E+00  5.23567919E-02  4.73153218E-05
  9.46100000E+00  3.58333843E-02  6.59658828E-05  9.46100000E+00  3.77704121E-02  3.50627457E-05  9.46100000E+00  3.58492208E-02  3.48584688E-05  9.46100000E+00  3.66805418E-02  3.58094497E-05
  9.53900000E+00  2.25870880E-02  4.13001446E-05  9.53900000E+00  2.38826726E-02  2.46417410E-05  9.53900000E+00  2.25916611E-02  2.41591886E-05  9.53900000E+00  2.31537834E-02  2.85493029E-05
